task,run_name,seed,learning_rate,batch_size,accuracy,mcc,f1,precision,recall,specificity,model,rc_aug
human_tf_4,mamba_uni_char_lr-5e-5_batch_size-256_rc_aug-true,2,5e-05,256,0.8330000042915344,0.6744719743728638,0.845227062702179,0.787564754486084,0.9120000004768372,0.7540000081062317,Mamba-char,True
human_tf_4,mamba_uni_char_lr-5e-5_batch_size-256_rc_aug-true,3,5e-05,256,0.8379999995231628,0.6867195963859558,0.8511029481887817,0.7874149680137634,0.9259999990463256,0.75,Mamba-char,True
mouse_0,caduceus_ps_lr-1e-3_batch_size-128_rc_aug-false,1,0.001,128,0.790123462677002,0.5843656063079834,0.7769029140472412,0.8291316628456116,0.7308642268180847,0.8493826985359192,Caduceus,False
mouse_0,caduceus_ps_lr-1e-3_batch_size-128_rc_aug-false,2,0.001,128,0.7962962985038757,0.5994307994842529,0.7797062993049622,0.8488371968269348,0.7209876775741577,0.8716049194335938,Caduceus,False
mouse_0,caduceus_ps_lr-1e-3_batch_size-128_rc_aug-false,3,0.001,128,0.7790123224258423,0.5621542930603027,0.7647832036018372,0.817415714263916,0.7185184955596924,0.8395061492919922,Caduceus,False
mouse_0,caduceus_ps_lr-1e-3_batch_size-256_rc_aug-false,1,0.001,256,0.7888888716697693,0.5781744718551636,0.7849056720733643,0.800000011920929,0.770370364189148,0.8074073791503906,Caduceus,False
mouse_0,caduceus_ps_lr-1e-3_batch_size-256_rc_aug-false,2,0.001,256,0.800000011920929,0.610273540019989,0.779891312122345,0.8670694828033447,0.7086419463157654,0.8913580179214478,Caduceus,False
mouse_0,caduceus_ps_lr-1e-3_batch_size-256_rc_aug-false,3,0.001,256,0.7666666507720947,0.5363650321960449,0.7535853981971741,0.7983425259590149,0.7135802507400513,0.819753110408783,Caduceus,False
mouse_0,caduceus_ps_lr-1e-4_batch_size-128_rc_aug-false,1,0.0001,128,0.7641975283622742,0.5289775133132935,0.7585334777832031,0.7772020697593689,0.7407407164573669,0.7876543402671814,Caduceus,False
mouse_0,caduceus_ps_lr-1e-4_batch_size-128_rc_aug-false,2,0.0001,128,0.7617284059524536,0.5248039364814758,0.7528809309005737,0.7819148898124695,0.7259259223937988,0.7975308895111084,Caduceus,False
mouse_0,caduceus_ps_lr-1e-4_batch_size-128_rc_aug-false,3,0.0001,128,0.749382734298706,0.499571681022644,0.7420584559440613,0.764397919178009,0.7209876775741577,0.7777777910232544,Caduceus,False
mouse_0,caduceus_ps_lr-1e-4_batch_size-256_rc_aug-false,1,0.0001,256,0.7456790208816528,0.491507887840271,0.7425000071525574,0.7518987059593201,0.7333333492279053,0.7580246925354004,Caduceus,False
mouse_0,caduceus_ps_lr-1e-4_batch_size-256_rc_aug-false,2,0.0001,256,0.7481481432914734,0.4963023364543915,0.7475247383117676,0.7493796348571777,0.7456790208816528,0.750617265701294,Caduceus,False
mouse_0,caduceus_ps_lr-1e-4_batch_size-256_rc_aug-false,3,0.0001,256,0.739506185054779,0.4790838956832886,0.7372353672981262,0.7437185645103455,0.7308642268180847,0.7481481432914734,Caduceus,False
mouse_0,caduceus_ps_lr-1e-5_batch_size-128_rc_aug-false,1,1e-05,128,0.5567901134490967,0.1657724976539611,0.3029126226902008,0.7090908885002136,0.192592591047287,0.9209876656532288,Caduceus,False
mouse_0,caduceus_ps_lr-1e-5_batch_size-128_rc_aug-false,2,1e-05,128,0.5716049671173096,0.1750868111848831,0.3986135125160217,0.6686046719551086,0.2839506268501282,0.8592592477798462,Caduceus,False
mouse_0,caduceus_ps_lr-1e-5_batch_size-128_rc_aug-false,3,1e-05,128,0.5641975402832031,0.1627991646528244,0.3707664906978607,0.6666666865348816,0.2567901313304901,0.8716049194335938,Caduceus,False
mouse_0,caduceus_ps_lr-1e-5_batch_size-256_rc_aug-false,1,1e-05,256,0.5074074268341064,0.0267112888395786,0.1564482003450393,0.5441176295280457,0.0913580283522605,0.9234567880630492,Caduceus,False
mouse_0,caduceus_ps_lr-1e-5_batch_size-256_rc_aug-false,2,1e-05,256,0.5333333611488342,0.0864865034818649,0.3152174055576324,0.5918367505073547,0.2148148119449615,0.8518518805503845,Caduceus,False
mouse_0,caduceus_ps_lr-1e-5_batch_size-256_rc_aug-false,3,1e-05,256,0.5123456716537476,0.0409286469221115,0.1889117062091827,0.5609756112098694,0.1135802492499351,0.9111111164093018,Caduceus,False
mouse_0,caduceus_ps_lr-2e-3_batch_size-128_rc_aug-false,1,0.002,128,0.8012345433235168,0.6062228679656982,0.7895424962043762,0.8388888835906982,0.7456790208816528,0.8567901253700256,Caduceus,False
mouse_0,caduceus_ps_lr-2e-3_batch_size-128_rc_aug-false,2,0.002,128,0.7950617074966431,0.593637228012085,0.7832897901535034,0.8310249447822571,0.7407407164573669,0.8493826985359192,Caduceus,False
mouse_0,caduceus_ps_lr-2e-3_batch_size-128_rc_aug-false,3,0.002,128,0.8111110925674438,0.6229080557823181,0.8065739274024963,0.8264248967170715,0.7876543402671814,0.8345679044723511,Caduceus,False
mouse_0,caduceus_ps_lr-2e-3_batch_size-128_rc_aug-True,10,0.002,128,0.7962962985038757,0.5929994583129883,0.7924528121948242,0.807692289352417,0.7777777910232544,0.8148148059844971,Caduceus,True
mouse_0,caduceus_ps_lr-2e-3_batch_size-128_rc_aug-True,4,0.002,128,0.7888888716697693,0.5779204964637756,0.7865168452262878,0.7954545617103577,0.7777777910232544,0.800000011920929,Caduceus,True
mouse_0,caduceus_ps_lr-2e-3_batch_size-128_rc_aug-True,5,0.002,128,0.7962962985038757,0.6103571057319641,0.7685834765434265,0.8896104097366333,0.6765432357788086,0.9160493612289428,Caduceus,True
mouse_0,caduceus_ps_lr-2e-3_batch_size-128_rc_aug-True,6,0.002,128,0.8074073791503906,0.6259344816207886,0.7874659299850464,0.8784194588661194,0.7135802507400513,0.9012345671653748,Caduceus,True
mouse_0,caduceus_ps_lr-2e-3_batch_size-128_rc_aug-True,7,0.002,128,0.8061728477478027,0.6137109994888306,0.7994891405105591,0.8280423283576965,0.7728394865989685,0.8395061492919922,Caduceus,True
mouse_0,caduceus_ps_lr-2e-3_batch_size-128_rc_aug-True,8,0.002,128,0.8111110925674438,0.6245588064193726,0.8025806546211243,0.8405405282974243,0.7679012417793274,0.8543210029602051,Caduceus,True
