task,model,best_learning_rate,best_batch_size,best_rc_aug,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count
promoter_no_tata,Caduceus,0.0001,128,False,0.7387939294179281,0.005157467354748301,0.8688046534856161,0.002524864032890958,0.8651256759961446,0.002948515584867286,0.8901341954867045,0.00820601891982401,0.8415937821070353,0.009922523581628692,3
promoter_no_tata,HyenaDNA,0.0006,256,False,0.7454053362210592,0.011158938689322379,0.8719630638758341,0.0058460791974986465,0.8681506315867106,0.007524504761202129,0.8946261604626974,0.011485787228765292,0.843537429968516,0.020735256601787547,3
promoter_no_tata,Mamba-bpe,5e-05,256,True,0.7267448764580947,0.008639666139802335,0.8626373593623822,0.004348971523633263,0.8589589274846591,0.0054967127081301135,0.88285893201828,0.016221296833685186,0.8369589585524339,0.020206261074172806,13
promoter_no_tata,Mamba-char,0.002,128,True,0.7331296526468717,0.009732062380001783,0.8659452795982361,0.004829796220962494,0.8621686146809504,0.005149693789150793,0.8872547608155471,0.009940983108915887,0.8386409420233506,0.01131319362452233,13
promoter_tata,CNN,0.001,64,False,0.8875242869059244,0.02603045420220887,0.9433962305386862,0.012479966240585479,0.9441502094268799,0.012964205195479172,0.9299029509226481,0.00436895544220907,0.9591194788614908,0.02723349936787772,3
promoter_tata,Caduceus,0.001,128,True,0.8384350597858429,0.034650929475297035,0.9188679218292236,0.017338414109795,0.9181426703929901,0.01813461442696148,0.9257608652114868,0.021770477262991153,0.9113207578659057,0.02956644636630927,10
promoter_tata,HyenaDNA,0.0006,128,False,0.8372893730799357,0.0290912439187235,0.9166666666666666,0.017858210811230433,0.9197196563084921,0.0134883945905218,0.8935366670290629,0.04767441049026876,0.9496855537096659,0.02723349936787767,3
promoter_tata,Mamba-bpe,5e-05,256,True,0.6392021576563517,0.020587724295673314,0.8191823959350586,0.01089339286459954,0.8206969102223715,0.005449285713869314,0.8153771956761678,0.02855709187436723,0.8270440300305685,0.019638348040741428,3
promoter_tata,Mamba-char,0.001,128,True,0.6758290941898639,0.04025487129472501,0.835994188602154,0.02066462937037924,0.8401934091861432,0.0190649685756112,0.8220268717178931,0.041173560593239344,0.8628447101666377,0.046634602699905305,13
splice_reconstructed,Caduceus,0.001,256,False,0.7992051839828491,0.04215818123870489,0.8829460740089417,0.024870518209414282,0.8718417485555013,0.029453561116914242,0.8781117995580038,0.028585183800311706,0.8672707279523214,0.028701143902578188,3
