task,model,seed,learning_rate,batch_size,accuracy,mcc,f1,precision,recall,specificity
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,6,1e-5,256,0.895039975643158,0.7901893854141235,0.8941593766212463,0.9017246961593628,0.8867200016975403,0.9033600091934204
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,7,1e-5,256,0.8958799839019775,0.7917694449424744,0.8956253528594971,0.8978213667869568,0.8934400081634521,0.8983200192451477
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,8,1e-5,256,0.8981599807739258,0.7963236570358276,0.8983145356178284,0.896953284740448,0.8996800184249878,0.8966400027275085
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,9,1e-5,256,0.8957200050354004,0.7914400100708008,0.8957158327102661,0.8957516551017761,0.8956800103187561,0.8957599997520447
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-128_rc_aug-true,1,5e-5,128,0.8888000249862671,0.7777097821235657,0.8878580331802368,0.8954434394836426,0.8804000020027161,0.8971999883651733
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-128_rc_aug-true,2,5e-5,128,0.8934800028800964,0.788316547870636,0.8902624845504761,0.9179909825325012,0.8641600012779236,0.9228000044822693
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-128_rc_aug-true,3,5e-5,128,0.8949599862098694,0.790040135383606,0.8958680033683777,0.888189971446991,0.9036800265312195,0.8862400054931641
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-256_rc_aug-true,1,5e-5,256,0.8928400278091431,0.7860413789749146,0.8944402933120728,0.8812795877456665,0.9079999923706055,0.8776800036430359
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-256_rc_aug-true,2,5e-5,256,0.8976399898529053,0.7955865859985352,0.8961992263793945,0.908993661403656,0.8837599754333496,0.9115200042724609
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-256_rc_aug-true,3,5e-5,256,0.8952400088310242,0.7909950017929077,0.8933154344558716,0.9100340008735657,0.8772000074386597,0.9132800102233887
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,10,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,1,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,2,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,3,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,4,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,5,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,6,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,7,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,8,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,9,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,10,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,1,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,2,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,3,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,4,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,5,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,6,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,7,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,8,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,9,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-128_rc_aug-true,10,2e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-128_rc_aug-true,1,2e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-128_rc_aug-true,2,2e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-128_rc_aug-true,3,2e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-128_rc_aug-true,4,2e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-128_rc_aug-true,5,2e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-128_rc_aug-true,6,2e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-128_rc_aug-true,7,2e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-128_rc_aug-true,8,2e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-128_rc_aug-true,9,2e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-256_rc_aug-true,10,2e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-256_rc_aug-true,1,2e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-256_rc_aug-true,2,2e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-256_rc_aug-true,3,2e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-256_rc_aug-true,4,2e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-256_rc_aug-true,5,2e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-256_rc_aug-true,6,2e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-256_rc_aug-true,7,2e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-256_rc_aug-true,8,2e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-2e-5_batch_size-256_rc_aug-true,9,2e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-128_rc_aug-true,10,1e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-128_rc_aug-true,1,1e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-128_rc_aug-true,2,1e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-128_rc_aug-true,3,1e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-128_rc_aug-true,4,1e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-128_rc_aug-true,5,1e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-128_rc_aug-true,6,1e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-128_rc_aug-true,7,1e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-128_rc_aug-true,8,1e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-128_rc_aug-true,9,1e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-256_rc_aug-true,10,1e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-256_rc_aug-true,1,1e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-256_rc_aug-true,2,1e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-256_rc_aug-true,3,1e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-256_rc_aug-true,4,1e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-256_rc_aug-true,5,1e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-256_rc_aug-true,6,1e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-256_rc_aug-true,7,1e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-256_rc_aug-true,8,1e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-1e-4_batch_size-256_rc_aug-true,9,1e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-128_rc_aug-true,10,2e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-128_rc_aug-true,1,2e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-128_rc_aug-true,2,2e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-128_rc_aug-true,3,2e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-128_rc_aug-true,4,2e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-128_rc_aug-true,5,2e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-128_rc_aug-true,6,2e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-128_rc_aug-true,7,2e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-128_rc_aug-true,8,2e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-128_rc_aug-true,9,2e-4,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-256_rc_aug-true,10,2e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-256_rc_aug-true,1,2e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-256_rc_aug-true,2,2e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-256_rc_aug-true,3,2e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-256_rc_aug-true,4,2e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-256_rc_aug-true,5,2e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-256_rc_aug-true,6,2e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-256_rc_aug-true,7,2e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-256_rc_aug-true,8,2e-4,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_char_4k_d256_8L_lr-2e-4_batch_size-256_rc_aug-true,9,2e-4,256,,,N/A,N/A,N/A,N/A
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,10,1e-5,128,,,N/A,N/A,N/A,N/A
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,1,1e-5,128,,,N/A,N/A,N/A,N/A
