task,run_name,seed,learning_rate,batch_size,accuracy,mcc,f1,precision,recall,specificity,model,rc_aug
H3K36me3,hyena_LR-6e-4_BATCH_SIZE-256_RC_AUG-True,6,0.0006,256,0.75,0.5069847702980042,0.7703613042831421,0.7147727012634277,0.8353253602981567,0.6639893054962158,HyenaDNA,True
H3K36me3,hyena_LR-6e-4_BATCH_SIZE-256_RC_AUG-True,7,0.0006,256,0.7383333444595337,0.4974804222583771,0.7722657322883606,0.6857290267944336,0.8837981224060059,0.5917001366615295,HyenaDNA,True
H3K36me3,hyena_LR-6e-4_BATCH_SIZE-256_RC_AUG-True,8,0.0006,256,0.7523333430290222,0.5136533379554749,0.77464359998703,0.7130094766616821,0.8479415774345398,0.6559571623802185,HyenaDNA,True
H3K36me3,hyena_LR-6e-4_BATCH_SIZE-256_RC_AUG-True,9,0.0006,256,0.7536666393280029,0.5177587866783142,0.7772083282470703,0.711761474609375,0.8559097051620483,0.650602400302887,HyenaDNA,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-True,10,5e-05,128,0.7353333234786987,0.4824660420417785,0.7628434896469116,0.6932681798934937,0.8479415774345398,0.6218206286430359,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-true,1,5e-05,128,0.7453333139419556,0.4933264851570129,0.7592942714691162,0.7224220633506775,0.8001328110694885,0.6900936961174011,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-True,1,5e-05,128,0.7463333606719971,0.4961205720901489,0.7618153095245361,0.720544695854187,0.8081009387969971,0.6840696334838867,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-true,2,5e-05,128,0.7456666827201843,0.4942457377910614,0.7601383328437805,0.7217910289764404,0.8027888536453247,0.688085675239563,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-True,2,5e-05,128,0.7283333539962769,0.4641378819942474,0.7520535588264465,0.6939921379089355,0.8207171559333801,0.63520747423172,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-true,3,5e-05,128,0.7316666841506958,0.4866966903209686,0.7684785723686218,0.6778284907341003,0.8871182203292847,0.574966549873352,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-True,3,5e-05,128,0.7369999885559082,0.4919155538082123,0.7692307829856873,0.6874020099639893,0.8731739521026611,0.5997322797775269,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-True,4,5e-05,128,0.7396666407585144,0.496147871017456,0.7706314325332642,0.6908899545669556,0.8711819648742676,0.6070950627326965,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-True,5,5e-05,128,0.7446666955947876,0.4915869832038879,0.7577482461929321,0.7234299778938293,0.795484721660614,0.6934404373168945,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-True,6,5e-05,128,0.7363333106040955,0.4890513718128204,0.7675580382347107,0.6884554624557495,0.8671978712081909,0.6044176816940308,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-True,7,5e-05,128,0.7386666536331177,0.494720846414566,0.7702227234840393,0.6894018650054932,0.8725099563598633,0.6037483215332031,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-True,8,5e-05,128,0.7323333621025085,0.4762301743030548,0.7600836753845215,0.6909288167953491,0.8446215391159058,0.6191432476043701,Mamba-bpe,True
H3K36me3,mamba_bpe_4k_d256_4L_new1_LR-5e-5_BATCH_SIZE-128_RC_AUG-True,9,5e-05,128,0.7383333444595337,0.4985353946685791,0.7729244828224182,0.684777021408081,0.8871182203292847,0.5883533954620361,Mamba-bpe,True
