task,model,best_learning_rate,best_batch_size,best_rc_aug,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count
H4K20me1,HyenaDNA,6e-05,256,True,0.5743466707376333,0.013681776062751137,0.7815316823812631,0.008624048085427072,0.8005118461755606,0.005737107051224739,0.737212754212893,0.016507178332090137,0.8766519885796767,0.022788576273318765,13
H4K20me1,Mamba-bpe,5e-05,256,True,0.5439885045800891,0.009034735697264292,0.7661736948149545,0.006591360343250219,0.7870886325836182,0.004469916210927832,0.7231231800147465,0.01578419584193552,0.8646318444183895,0.026516540438608713,14
H4K20me1,Mamba-char,0.0005,256,True,0.5600870980156792,0.010536373073116823,0.7747430238458846,0.008480471187391175,0.7935641076829698,0.003945565112181286,0.7333901955021752,0.018847141974214367,0.8658835026952956,0.027055877232453455,18
covid,CNN,0.001,64,False,0.12808895260095593,0.004845484599822779,0.22687609195709224,0.0043184604880765224,0.22472597360610963,0.00365663103432149,0.22645755410194393,0.003613905590995359,0.22756337225437165,0.0036982171150522843,5
covid,Caduceus,0.0003,128,False,0.6303517669439316,0.015030500271494853,0.6720113456249237,0.01346565286946902,0.6738759875297546,0.013176347562531566,0.6900311708450317,0.007352395072480785,0.6686617881059647,0.015436415725710074,4
covid,HyenaDNA,6e-05,128,True,0.619556806304238,0.020484165281647673,0.6626011404124174,0.018000295760018787,0.6624802513556047,0.018114358488499207,0.6683637987483632,0.01833540160235072,0.6606804024089467,0.018620992327490902,11
covid,Mamba-bpe,0.0002,128,True,0.652044259584867,0.02425780409723529,0.6905121482335604,0.023187598290659837,0.693720647921929,0.021613570182380474,0.7108383087011484,0.011274519402089504,0.6889726244486295,0.023300861588724187,13
covid,Mamba-char,0.0002,128,True,0.5764164566993714,0.010992863263602983,0.6245746076107025,0.009728073862154843,0.6243087112903595,0.010849663713621548,0.6363976299762726,0.011291233029586801,0.619587880373001,0.010613366902156602,10
demo_coding_vs_intergenomic,CNN,0.001,64,False,0.7839916348457336,0.006520757491419525,0.8918400049209595,0.0031690999588321355,0.8927341341972351,0.004223083691262395,0.8852977752685547,0.007374309222524149,0.9005120158195495,0.014869741003420178,5
demo_coding_vs_intergenomic,Caduceus,0.0001,128,True,0.8275719702243804,0.002376582228719106,0.9137000024318696,0.0012249586559884946,0.9133815169334412,0.001626054799608279,0.9168200492858887,0.008297665594231137,0.9101359963417053,0.010341778219688484,10
