task,model,best_lr,best_epoch,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count,source_files,same_source_file,num_source_files
H2AFZ,DNABERT,3e-05,3.0,0.503702717861946,0.010734815177357096,0.7468888888888889,0.006167417371723492,0.7446701630302822,0.006671412055885986,0.7565190505696746,0.004645627823262999,0.747271511899746,0.006131881440816535,3,combined_results_orig_07.21.2025.csv,True,1
H2AFZ,DNABERT2,3e-05,3.0,0.5245071254409542,0.010394481242649753,0.7563333333333333,0.00857645355351245,0.7537898917952617,0.010248026558387973,0.7679618067201625,0.003771681186022164,0.7567121073937183,0.008395014100098425,4,combined_results_orig_07.21.2025.csv,True,1
H2AFZ,GPT,3e-05,3.0,0.4834125615697123,0.010420523746466,0.737111111111111,0.006158402871356043,0.7348968161928463,0.006768103248611675,0.7460055632009069,0.004324657618285435,0.7374855775470186,0.0061146547942910875,3,combined_results_orig_07.21.2025.csv,True,1
H2AFZ,NTv2,0.0001,3.0,0.5263044120575803,0.019692491418791327,0.7605555555555555,0.010777205024872975,0.7595316008835771,0.011290765105896923,0.7655087062529006,0.009016990553597507,0.7608206175743257,0.010723912334019096,3,combined_results_orig_07.21.2025.csv,True,1
H3K27ac,DNABERT,3e-05,3.0,0.4551003179218534,0.007613857044936322,0.7242161716171617,0.003175495940251818,0.7222078892393212,0.005834283626231299,0.7310171565582989,0.00881800231616326,0.7242161716171617,0.0031754959402518256,3,combined_results_orig_07.21.2025.csv,True,1
H3K27ac,DNABERT2,3e-05,3.0,0.49990228796463415,0.008630222381254658,0.7464418316831682,0.005769127999565628,0.7446387330495503,0.006818346672675022,0.7535295883920095,0.003989711718779738,0.7464418316831682,0.005769127999565628,4,combined_results_orig_07.21.2025.csv,True,1
H3K27ac,GPT,3e-05,3.0,0.44538996907568434,0.025851003242563363,0.7217409240924093,0.013233510670252007,0.7211284330725799,0.013501291886779386,0.7236535943803357,0.012615011871217469,0.7217409240924093,0.01323351067025198,3,combined_results_orig_07.21.2025.csv,True,1
H3K27ac,NTv2,0.0001,3.0,0.5036918612001949,0.009060046279212414,0.7508250825082508,0.005152638612539932,0.7503118465795081,0.005486674636447601,0.7528721266275746,0.003910264483131864,0.7508250825082508,0.005152638612539932,3,combined_results_orig_07.21.2025.csv,True,1
H3K27me3,DNABERT,3e-05,3.0,0.5679671900633795,0.006862412394353339,0.7743333333333333,0.006806859285553999,0.7708181441410397,0.008754410376956944,0.7934317020962176,0.005914064425019467,0.7749045053277456,0.006653397995766445,3,combined_results_orig_07.21.2025.csv,True,1
H3K27me3,DNABERT2,3e-05,3.0,0.6091725923186244,0.00588562256924429,0.7986666666666666,0.003254626336861521,0.796940730852193,0.00363076381174359,0.8101745392720213,0.00393640114580541,0.7991087361458095,0.0032171043268239843,4,combined_results_orig_07.21.2025.csv,True,1
H3K27me3,GPT,3e-05,3.0,0.5550683264666202,0.0033411216921593583,0.7711111111111112,0.0016442942874387537,0.7687725448377206,0.001744141746570271,0.7836026772136112,0.0019803599459663327,0.7715966555123496,0.001638656219248196,3,combined_results_orig_07.21.2025.csv,True,1
H3K27me3,NTv2,0.0001,3.0,0.6194560946031596,0.00859964074204596,0.8007777777777778,0.007026405223894417,0.7981524660942618,0.00804696104945612,0.8183923823833835,0.002273870232623072,0.801319450956932,0.006938293731070974,3,combined_results_orig_07.21.2025.csv,True,1
H3K36me3,DNABERT,3e-05,3.0,0.5722673490477773,0.005227337750877837,0.778,0.0023333333333332984,0.7745460326978179,0.0022890501406432565,0.7950176594064553,0.0029167856029605256,0.7775173291661556,0.0023276570409174204,3,combined_results_orig_07.21.2025.csv,True,1
H3K36me3,DNABERT2,3e-05,3.0,0.6272436467352244,0.004811518803532162,0.8109999999999999,0.0022771001702132317,0.8100790329447566,0.00234309859628006,0.8165347275608809,0.002930891195590954,0.8107383051462157,0.0022798280206754126,4,combined_results_orig_07.21.2025.csv,True,1
H3K36me3,GPT,3e-05,3.0,0.5393220622273167,0.0037409883656489575,0.7616666666666667,0.0009999999999999731,0.7577953754173609,0.000654243441227448,0.7784263551135497,0.0028325559875425604,0.7611735121095271,0.0009760402064974393,3,combined_results_orig_07.21.2025.csv,True,1
H3K36me3,NTv2,0.0001,3.0,0.6617702314772362,0.0037077148106196742,0.8284444444444444,0.0023648662948658316,0.827700296159664,0.002533576873734624,0.8335968742597325,0.0014319818667726492,0.828196362252907,0.0023920220453684015,3,combined_results_orig_07.21.2025.csv,True,1
H3K4me1,DNABERT,3e-05,3.0,0.4667684618716053,0.007592357581591773,0.7268888888888889,0.0025891511550512974,0.7227551998114223,0.0024962182322599315,0.7404973913184977,0.005633834777962951,0.7264925165835177,0.002573565096454818,3,combined_results_orig_07.21.2025.csv,True,1
H3K4me1,DNABERT2,3e-05,3.0,0.5060732804771871,0.007276226709469,0.7488333333333334,0.004426352063787171,0.7465040658390616,0.0050561145441744,0.7576372953567809,0.0034861950994222557,0.7485266502961144,0.0044670004719128045,4,combined_results_orig_07.21.2025.csv,True,1
H3K4me1,GPT,3e-05,3.0,0.4310549601353901,0.0018417763564063225,0.7112222222222222,0.0008388704928078496,0.7080119593375618,0.0020592552596856587,0.7202823777934139,0.002798428960446947,0.7108853061330311,0.0009049378081593293,3,combined_results_orig_07.21.2025.csv,True,1
